title,description,published date,url,source
Trump strips Biden's options to boost the economy - POLITICO,Trump strips Biden's options to boost the economy  POLITICO,"Mon, 23 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjAvMTEvMjMvYmlkZW4tZWNvbm9teS1vcHRpb25zLTQzOTkyONIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,POLITICO
Biden-voting counties equal 70% of America's economy. What does this mean for the nation's political-economic divide ... - Brookings Institution,Biden-voting counties equal 70% of America's economy. What does this mean for the nation's political-economic divide ...  Brookings Institution,"Tue, 10 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5icm9va2luZ3MuZWR1L2FydGljbGVzL2JpZGVuLXZvdGluZy1jb3VudGllcy1lcXVhbC03MC1vZi1hbWVyaWNhcy1lY29ub215LXdoYXQtZG9lcy10aGlzLW1lYW4tZm9yLXRoZS1uYXRpb25zLXBvbGl0aWNhbC1lY29ub21pYy1kaXZpZGUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Brookings Institution
Biden will have a long list of economic fixes to make: Experts say these are the top 3 - NBC News,Biden will have a long list of economic fixes to make: Experts say these are the top 3  NBC News,"Wed, 11 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL2J1c2luZXNzL2Vjb25vbXkvam9lLWJpZGVuLXdpbGwtaGF2ZS1sb25nLWxpc3QtZWNvbm9taWMtZml4ZXMtbWFrZS1leHBlcnRzLW4xMjQ3MjQ00gEsaHR0cHM6Ly93d3cubmJjbmV3cy5jb20vbmV3cy9hbXAvbmNuYTEyNDcyNDQ?oc=5&hl=en-US&gl=US&ceid=US:en,NBC News
4. Important issues in the 2020 election - Pew Research Center,4. Important issues in the 2020 election  Pew Research Center,"Thu, 13 Aug 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LnBld3Jlc2VhcmNoLm9yZy9wb2xpdGljcy8yMDIwLzA4LzEzL2ltcG9ydGFudC1pc3N1ZXMtaW4tdGhlLTIwMjAtZWxlY3Rpb24v0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Pew Research Center
"Biden's economic recovery plan, called Build Back Better, would spend over $7.3 trillion and invest in green infrastructure, health care and more - CNBC","Biden's economic recovery plan, called Build Back Better, would spend over $7.3 trillion and invest in green infrastructure, health care and more  CNBC","Tue, 10 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMTEvMTAvcHJlc2lkZW50LWVsZWN0LWpvZS1iaWRlbnMtcGxhbi1mb3ItdGhlLWVjb25vbXktam9icy1hbmQtY292aWQtMTktLmh0bWzSAWtodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMC8xMS8xMC9wcmVzaWRlbnQtZWxlY3Qtam9lLWJpZGVucy1wbGFuLWZvci10aGUtZWNvbm9teS1qb2JzLWFuZC1jb3ZpZC0xOS0uaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en,CNBC
Trump paints apocalyptic portrait of life in US under Biden - The Associated Press,Trump paints apocalyptic portrait of life in US under Biden  The Associated Press,"Wed, 28 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2VsZWN0aW9uLTIwMjAtam9lLWJpZGVuLWRvbmFsZC10cnVtcC1wb2xpY2UtZWNvbm9teS0zMDgyYjk5NWMxZmQ4OTEyOTY3MWIyNDU3OTdiYzkwMtIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,The Associated Press
The Quiet Architect of Biden's Plan to Rescue the Economy (Published 2020) - The New York Times,The Quiet Architect of Biden's Plan to Rescue the Economy (Published 2020)  The New York Times,"Mon, 02 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMTEvMDIvYnVzaW5lc3MvYmlkZW4tZWNvbm9taXN0Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,The New York Times
"Biden leads Trump by double digits, but more Americans trust Trump on economy despite historic recession - PBS NewsHour","Biden leads Trump by double digits, but more Americans trust Trump on economy despite historic recession  PBS NewsHour","Fri, 18 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5wYnMub3JnL25ld3Nob3VyL3BvbGl0aWNzL2JpZGVuLWxlYWRzLXRydW1wLWJ5LWRvdWJsZS1kaWdpdHMtYnV0LW1vcmUtYW1lcmljYW5zLXRydXN0LXRydW1wLW9uLWVjb25vbXktZGVzcGl0ZS1oaXN0b3JpYy1yZWNlc3Npb27SAZEBaHR0cHM6Ly93d3cucGJzLm9yZy9uZXdzaG91ci9hbXAvcG9saXRpY3MvYmlkZW4tbGVhZHMtdHJ1bXAtYnktZG91YmxlLWRpZ2l0cy1idXQtbW9yZS1hbWVyaWNhbnMtdHJ1c3QtdHJ1bXAtb24tZWNvbm9teS1kZXNwaXRlLWhpc3RvcmljLXJlY2Vzc2lvbg?oc=5&hl=en-US&gl=US&ceid=US:en,PBS NewsHour
"Trump And Biden On The Economy, Taxes, Jobs - NPR","Trump And Biden On The Economy, Taxes, Jobs  NPR","Fri, 16 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMC8xMC8xNi85MTkxNjIzOTIvdHJ1bXBzLWFuZC1iaWRlbi1zLXBsYW5zLWZvci10aGUtZWNvbm9tedIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,NPR
What Kind of Economy Will Joe Biden Inherit? - The New Yorker,What Kind of Economy Will Joe Biden Inherit?  The New Yorker,"Wed, 18 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3Lm5ld3lvcmtlci5jb20vbmV3cy9vdXItY29sdW1uaXN0cy93aGF0LWtpbmQtb2YtZWNvbm9teS13aWxsLWpvZS1iaWRlbi1pbmhlcml00gEA?oc=5&hl=en-US&gl=US&ceid=US:en,The New Yorker
