title,description,published date,url,source
US 2020 election: The economy under Trump in six charts - BBC.com,US 2020 election: The economy under Trump in six charts  BBC.com,"Tue, 03 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC00NTgyNzQzMNIBK2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC00NTgyNzQzMC5hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,BBC.com
Grading Trump's Economic Policies - Cato Institute,Grading Trump's Economic Policies  Cato Institute,"Fri, 16 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNhdG8ub3JnL2NvbW1lbnRhcnkvZ3JhZGluZy10cnVtcHMtZWNvbm9taWMtcG9saWNpZXPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,Cato Institute
How the Trump economy compares to economies under other presidents - CNN,How the Trump economy compares to economies under other presidents  CNN,"Wed, 28 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmNubi5jb20vaW50ZXJhY3RpdmUvMjAyMC8xMC9idXNpbmVzcy91cy1lY29ub215LXRydW1wLXZzLW90aGVyLXByZXNpZGVudHMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,CNN
Trump's Economic Ratings No Longer Best in Class - Gallup,Trump's Economic Ratings No Longer Best in Class  Gallup,"Mon, 29 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vbmV3cy5nYWxsdXAuY29tL3BvbGwvMzEzMDcwL3RydW1wLWVjb25vbWljLXJhdGluZ3Mtbm8tbG9uZ2VyLWJlc3QtY2xhc3MuYXNweNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Gallup
The Trump economy versus the Obama economy in 16 charts - The Washington Post,The Trump economy versus the Obama economy in 16 charts  The Washington Post,"Sat, 05 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9idXNpbmVzcy8yMDIwLzA5LzA1L3RydW1wLW9iYW1hLWVjb25vbXkv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,The Washington Post
Why Trump Gets High Marks On Economy Even As Millions Are Jobless - NPR,Why Trump Gets High Marks On Economy Even As Millions Are Jobless  NPR,"Tue, 25 Aug 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMC8wOC8yNS85MDU1Nzg5MzkvZGVzcGl0ZS13aWRlc3ByZWFkLXBhaW4tZWNvbm9teS1yZW1haW5zLXN0cm9uZy1zZWxsaW5nLXBvaW50LWZvci10cnVtcNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,NPR
Data show Trump didn't 'build' a great economy. He inherited it. - NBC News,Data show Trump didn't 'build' a great economy. He inherited it.  NBC News,"Sun, 23 Aug 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL3BvbGl0aWNzL21lZXQtdGhlLXByZXNzL2RhdGEtc2hvdy10cnVtcC1kaWRuLXQtYnVpbGQtZ3JlYXQtZWNvbm9teS1oZS1pbmhlcml0ZWQtbjEyMzc3OTPSASxodHRwczovL3d3dy5uYmNuZXdzLmNvbS9uZXdzL2FtcC9uY25hMTIzNzc5Mw?oc=5&hl=en-US&gl=US&ceid=US:en,NBC News
Data v spin: The truth about Trump and the US economy - Al Jazeera English,Data v spin: The truth about Trump and the US economy  Al Jazeera English,"Tue, 29 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vZWNvbm9teS8yMDIwLzkvMjkvZGF0YS12LXNwaW4tdGhlLXRydXRoLWFib3V0LXRydW1wcy1lY29ub2150gFaaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvZWNvbm9teS8yMDIwLzkvMjkvZGF0YS12LXNwaW4tdGhlLXRydXRoLWFib3V0LXRydW1wcy1lY29ub215?oc=5&hl=en-US&gl=US&ceid=US:en,Al Jazeera English
Trump is betting on the economy. Is it enough to win reelection? - PBS NewsHour,Trump is betting on the economy. Is it enough to win reelection?  PBS NewsHour,"Tue, 04 Feb 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnBicy5vcmcvbmV3c2hvdXIvcG9saXRpY3MvdHJ1bXAtaXMtYmV0dGluZy1vbi10aGUtZWNvbm9teS1pcy1pdC1lbm91Z2gtdG8td2luLXJlZWxlY3Rpb27SAWhodHRwczovL3d3dy5wYnMub3JnL25ld3Nob3VyL2FtcC9wb2xpdGljcy90cnVtcC1pcy1iZXR0aW5nLW9uLXRoZS1lY29ub215LWlzLWl0LWVub3VnaC10by13aW4tcmVlbGVjdGlvbg?oc=5&hl=en-US&gl=US&ceid=US:en,PBS NewsHour
Trump's Economic Scorecard: 3 Years In Office - Forbes,Trump's Economic Scorecard: 3 Years In Office  Forbes,"Mon, 10 Feb 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvY2h1Y2tqb25lcy8yMDIwLzAyLzEwL3RydW1wcy1lY29ub21pYy1zY29yZWNhcmQtMy15ZWFycy1pbi1vZmZpY2Uv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Forbes
